3.7500000000000018,1,2,3,4,5
4.299999999999992,1,2,3,4,6
3.6800000000000015,1,2,3,5,6
3.9049999999999905,1,2,3,4,7
3.814999999999989,1,2,4,5,6
5.134999999999996,1,2,3,5,7
3.3550000000000075,1,2,3,4,8
3.9549999999999947,1,3,4,5,6
4.774999999999993,1,2,4,5,7
5.349999999999994,1,2,3,6,7
3.5150000000000006,1,2,3,5,8
4.3599999999999905,1,2,3,4,9
3.8749999999999947,2,3,4,5,6
4.789999999999999,1,3,4,5,7
4.689999999999994,1,2,4,6,7
3.74,1,2,4,5,8
3.2450000000000045,1,2,3,6,8
3.835000000000006,1,2,3,5,9
4.789999999999999,1,2,3,4,10
3.4700000000000077,1,2,4,6,8
3.960000000000008,2,3,4,5,7
4.919999999999998,1,3,4,6,7
5.654999999999998,1,2,5,6,7
4.31500000000001,1,3,4,5,8
3.8400000000000034,1,2,3,7,8
3.6450000000000014,1,2,4,5,9
3.8299999999999947,1,2,3,4,11
4.059999999999999,1,2,3,6,9
4.474999999999998,1,2,3,5,10
5.229999999999993,1,3,5,6,7
4.945,2,3,4,6,7
4.080000000000011,1,2,3,5,11
4.190000000000001,2,3,4,5,8
4.999999999999998,1,2,4,5,10
4.955000000000011,1,2,3,6,10
3.8500000000000085,1,3,4,6,8
2.7650000000000006,1,2,5,6,8
4.279999999999994,1,2,3,4,12
4.1549999999999905,1,2,4,7,8
4.589999999999993,1,3,4,5,9
3.9849999999999923,1,2,4,6,9
4.869999999999987,1,2,3,7,9
4.1000000000000085,2,3,4,6,8
5.034999999999993,2,3,5,6,7
5.529999999999998,1,4,5,6,7
4.159999999999997,1,2,3,7,10
2.9549999999999983,1,2,3,8,9
3.550000000000015,1,3,5,6,8
4.62999999999999,1,2,3,5,12
3.7849999999999895,1,2,4,7,9
4.479999999999993,1,3,4,5,10
3.7300000000000004,1,3,4,7,8
5.454999999999998,1,2,5,7,8
4.5000000000000036,2,3,4,5,9
3.894999999999996,1,2,3,6,11
3.3999999999999986,1,2,3,4,13
4.499999999999986,1,3,4,6,9
4.875000000000005,1,2,4,6,10
4.030000000000003,1,2,4,5,11
3.4800000000000075,1,2,5,6,9
4.755000000000006,2,4,5,6,7
4.049999999999997,2,3,5,6,8
3.1150000000000126,1,4,5,6,8
4.400000000000013,2,3,4,7,8
4.489999999999995,1,3,4,6,10
3.810000000000006,1,2,3,5,13
4.70000000000001,1,2,5,6,10
5.075000000000006,1,3,5,7,8
3.3400000000000034,1,2,4,8,9
3.8400000000000034,1,2,6,7,8
4.259999999999989,1,2,4,5,12
4.835000000000004,1,3,4,5,11
5.490000000000002,2,3,4,6,9
4.255000000000004,1,2,3,8,10
3.9149999999999885,1,2,4,6,11
4.214999999999993,1,2,3,7,11
4.489999999999995,2,3,4,5,10
4.684999999999999,1,3,5,6,9
4.8899999999999935,1,2,3,6,12
4.11999999999999,1,3,4,7,9
3.884999999999998,1,2,3,4,14
4.239999999999995,1,2,4,7,10
4.690000000000001,1,2,5,7,9
4.895000000000007,2,3,4,7,9
3.8949999999999996,3,4,5,6,7
3.5599999999999916,2,4,5,6,8
4.419999999999995,1,2,3,9,10
3.874999999999993,1,3,4,7,10
5.254999999999992,1,2,5,7,10
4.4900000000000055,1,2,4,5,13
3.4849999999999817,1,2,4,7,11
3.219999999999999,1,2,3,8,11
4.995000000000001,2,3,5,7,8
5.30500000000001,1,4,5,7,8
2.650000000000002,1,2,5,8,9
5.375000000000005,1,3,5,6,10
5.214999999999993,1,3,4,5,12
3.7349999999999905,1,2,3,5,14
3.6750000000000114,1,2,3,4,15
5.82500000000001,1,3,6,7,8
4.865000000000002,2,3,4,6,10
3.810000000000013,2,3,4,5,11
4.349999999999994,2,3,5,6,9
5.249999999999989,1,2,3,7,12
5.1250000000000036,1,4,5,6,9
4.745000000000019,1,2,4,8,10
3.429999999999989,1,2,3,6,13
3.764999999999997,1,2,6,7,9
3.9800000000000075,1,2,5,6,11
5.029999999999998,1,3,4,6,11
4.289999999999992,1,2,4,6,12
3.8800000000000026,1,3,4,8,9
4.984999999999985,1,3,5,7,9
3.919999999999991,2,3,5,6,10
4.875000000000007,2,4,5,7,8
3.4750000000000085,3,4,5,6,8
2.755000000000013,1,2,6,8,9
4.734999999999996,1,2,4,6,13
5.229999999999993,1,4,5,6,10
4.569999999999993,1,2,5,8,10
4.315000000000001,1,2,5,6,12
5.354999999999997,16,1,2,3,4
4.024999999999988,1,2,4,8,11
5.869999999999997,2,3,6,7,8
5.195000000000018,1,4,6,7,8
4.455000000000002,1,2,6,7,10
5.520000000000007,1,2,5,7,11
3.6500000000000004,1,2,4,5,14
6.45999999999999,1,3,5,7,10
5.169999999999993,1,2,3,6,14
3.2900000000000134,1,2,3,5,15
3.785,1,3,4,8,10
5.7949999999999875,1,3,4,6,12
4.234999999999996,1,2,3,7,13
4.88000000000001,1,3,5,6,11
4.275000000000002,2,4,5,6,9
4.855,2,3,5,7,9
3.66,1,2,3,9,11
4.355000000000004,1,2,4,9,10
5.364999999999991,1,4,5,7,9
3.3499999999999837,1,3,6,7,9
5.68,1,3,5,8,9
3.725000000000012,2,3,4,6,11
4.0249999999999915,2,3,4,5,12
4.039999999999996,2,3,4,7,10
4.9950000000000045,1,3,4,5,13
4.735000000000017,2,3,4,8,9
3.7899999999999956,1,3,4,7,11
3.4299999999999997,1,2,3,8,12
4.834999999999987,1,2,4,7,12
4.469999999999999,3,4,5,7,8
5.354999999999997,2,3,6,7,9
3.785,2,4,6,7,8
5.650000000000009,1,5,6,7,8
3.115000000000002,1,2,7,8,9
4.009999999999991,1,2,5,6,13
6.015000000000004,1,3,5,7,11
4.239999999999995,1,2,6,7,11
3.4299999999999926,1,3,4,5,14
3.3550000000000146,1,2,6,8,10
4.84,16,1,2,3,5
4.714999999999996,1,2,3,10,11
3.9249999999999936,1,3,4,9,10
4.879999999999999,2,4,5,6,10
3.450000000000003,1,2,3,6,15
4.6450000000000085,1,2,4,6,14
5.2499999999999964,2,3,4,8,10
4.215,3,4,5,6,9
2.605000000000011,1,2,3,8,13
4.964999999999993,1,3,4,7,12
4.080000000000002,2,3,4,5,13
4.074999999999992,2,3,5,7,10
3.535,2,3,5,6,11
4.184999999999988,1,2,3,9,12
4.009999999999998,1,3,4,8,11
3.3300000000000036,1,2,4,5,15
5.409999999999993,1,3,5,6,12
3.7750000000000092,2,4,5,7,9
7.020000000000007,1,3,5,8,10
4.114999999999981,1,2,3,7,14
4.190000000000012,2,3,4,6,12
3.7349999999999994,1,2,5,8,11
4.804999999999996,1,4,6,7,9
3.4199999999999946,1,2,4,9,11
4.4099999999999895,1,2,4,7,13
3.8299999999999983,1,3,6,8,9
3.350000000000005,1,2,5,9,10
4.9999999999999964,1,4,5,6,11
4.920000000000002,2,3,5,8,9
5.794999999999998,1,3,6,7,10
4.060000000000009,1,4,5,8,9
4.059999999999999,1,3,4,6,13
3.944999999999993,1,2,4,8,12
5.265000000000008,1,4,5,7,10
6.019999999999989,1,2,5,7,12
3.2100000000000044,2,3,4,7,11
5.199999999999996,2,5,6,7,8
5.164999999999999,3,4,6,7,8
5.3899999999999935,2,3,6,7,10
4.354999999999993,2,3,4,6,13
3.0,1,2,3,8,14
3.289999999999999,1,3,5,6,13
4.394999999999989,1,3,4,6,14
4.755000000000003,2,3,5,7,11
4.135000000000023,1,2,6,9,10
3.9700000000000095,1,3,4,5,15
5.224999999999985,16,1,2,3,6
3.125000000000007,2,4,5,6,11
5.125000000000007,1,4,6,7,10
4.379999999999988,2,3,5,8,10
3.6699999999999946,1,3,4,8,12
3.84999999999998,1,2,4,7,14
4.385000000000012,2,4,5,7,10
3.6900000000000084,1,2,7,8,10
4.100000000000005,1,2,5,9,11
3.075000000000003,2,3,4,5,14
3.7649999999999935,1,2,4,9,12
3.695000000000011,1,2,4,8,13
4.039999999999996,3,4,5,7,9
4.859999999999999,1,2,3,10,12
5.184999999999992,1,3,5,7,12
3.7649999999999935,1,2,3,7,15
4.4800000000000075,1,2,5,6,14
4.549999999999994,16,1,2,4,5
3.6500000000000163,2,4,6,7,9
4.419999999999998,2,3,4,7,12
6.209999999999987,1,3,6,7,11
3.9200000000000124,2,3,4,8,11
4.54999999999999,1,3,4,9,11
4.599999999999998,1,2,4,10,11
4.959999999999987,1,5,6,7,9
4.155000000000005,2,4,5,8,9
4.394999999999998,3,4,5,6,10
4.100000000000001,1,2,4,6,15
5.025000000000006,2,3,6,8,9
4.355000000000015,1,4,6,8,9
3.0249999999999844,1,3,7,8,9
5.829999999999991,1,2,6,7,12
3.6199999999999903,1,2,5,8,12
5.560000000000002,1,3,5,9,10
5.060000000000002,1,4,5,7,11
2.8000000000000007,1,2,6,8,11
4.239999999999995,2,3,5,6,12
5.295000000000002,1,3,6,8,10
5.565000000000001,2,3,4,9,10
4.420000000000005,1,3,4,7,13
4.900000000000009,1,3,5,8,11
4.389999999999986,1,4,5,6,12
3.1099999999999994,1,2,3,9,13
5.854999999999993,1,2,5,7,13
4.300000000000022,1,4,5,8,10
3.815000000000012,3,4,6,7,9
5.270000000000007,3,5,6,7,8
4.63000000000001,2,4,6,7,10
3.1849999999999987,1,2,6,9,11
5.554999999999991,16,1,3,4,5
3.325000000000003,1,2,5,6,15
3.620000000000015,1,3,4,8,13
5.58499999999999,1,2,5,7,14
4.239999999999991,1,3,6,8,11
4.680000000000025,2,5,6,7,9
