-10.324999999999505,1,2,3,4,5,6,7,8,9,10,11,12
-0.97999999999967,1,2,3,4,5,6,7,8,9,10,11,13
5.5200000000003016,1,2,3,4,5,6,7,8,9,10,12,13
-3.9299999999999997,1,2,3,4,5,6,7,8,9,10,11,14
-2.520000000000124,1,2,3,4,5,6,7,8,9,11,12,13
-1.8949999999999108,1,2,3,4,5,6,7,8,9,10,12,14
1.1650000000004468,1,2,3,4,5,6,7,8,9,10,11,15
3.085000000000008,1,2,3,4,5,6,7,8,10,11,12,13
-2.4350000000000804,1,2,3,4,5,6,7,8,9,11,12,14
-0.2899999999998073,1,2,3,4,5,6,7,8,9,10,13,14
2.6749999999998906,1,2,3,4,5,6,7,8,9,10,12,15
-3.719999999999523,16,1,2,3,4,5,6,7,8,9,10,11
3.0100000000001614,1,2,3,4,5,6,7,9,10,11,12,13
-10.994999999999848,1,2,3,4,5,6,7,8,10,11,12,14
-6.870000000000026,1,2,3,4,5,6,7,8,9,11,13,14
-2.659999999999762,1,2,3,4,5,6,7,8,9,11,12,15
4.0600000000002865,1,2,3,4,5,6,7,8,9,10,13,15
0.2350000000006034,16,1,2,3,4,5,6,7,8,9,10,12
-1.7250000000000298,1,2,3,4,5,6,7,8,10,11,13,14
-1.27000000000006,1,2,3,4,5,6,8,9,10,11,12,13
-4.929999999999723,1,2,3,4,5,6,7,9,10,11,12,14
3.0600000000002225,1,2,3,4,5,6,7,8,9,12,13,14
-10.239999999999768,1,2,3,4,5,6,7,8,10,11,12,15
-4.149999999999913,1,2,3,4,5,6,7,8,9,11,13,15
-1.5449999999999235,1,2,3,4,5,6,7,8,9,10,14,15
-12.374999999999837,16,1,2,3,4,5,6,7,8,9,11,12
-1.4749999999996533,16,1,2,3,4,5,6,7,8,9,10,13
4.770000000000024,1,2,3,4,5,6,7,8,10,12,13,14
-0.08999999999956998,1,2,3,4,5,7,8,9,10,11,12,13
-7.409999999999968,1,2,3,4,5,6,8,9,10,11,12,14
-10.059999999999825,16,1,2,3,4,5,6,7,8,9,11,13
-1.264999999999958,1,2,3,4,5,6,7,9,10,11,13,14
-9.474999999999895,1,2,3,4,5,6,7,9,10,11,12,15
-2.4849999999998786,1,2,3,4,5,6,7,8,10,11,13,15
-7.759999999999849,16,1,2,3,4,5,6,7,8,9,10,14
8.41499999999985,1,2,3,4,5,6,7,8,9,12,13,15
2.1850000000003007,1,2,3,4,5,6,7,8,9,11,14,15
-13.409999999999613,16,1,2,3,4,5,6,7,8,10,11,12
-6.750000000000291,1,2,3,4,5,6,7,8,11,12,13,14
0.775000000000297,1,2,3,4,5,7,8,9,10,11,12,14
3.560000000000329,1,2,3,4,6,7,8,9,10,11,12,13
-0.4350000000003078,1,2,3,4,5,6,8,9,10,11,13,14
0.6300000000000452,1,2,3,4,5,6,7,9,10,12,13,14
2.9750000000004277,1,2,3,4,5,6,7,8,9,12,14,15
-1.1750000000000256,16,1,2,3,4,5,6,7,8,10,11,13
-2.9149999999997434,1,2,3,4,5,6,8,9,10,11,12,15
-7.064999999999515,16,1,2,3,4,5,6,7,9,10,11,12
-4.684999999999832,1,2,3,4,5,6,7,9,10,11,13,15
7.584999999999916,1,2,3,4,5,6,7,8,10,12,13,15
3.73000000000021,16,1,2,3,4,5,6,7,8,9,10,15
-4.1749999999996845,16,1,2,3,4,5,6,7,8,9,12,13
-9.740000000000052,1,2,3,4,5,6,7,8,10,11,14,15
-3.485000000000049,16,1,2,3,4,5,6,7,8,9,11,14
-3.9149999999999423,1,2,3,5,6,7,8,9,10,11,12,13
-9.784999999999798,1,2,3,4,6,7,8,9,10,11,12,14
-1.5599999999995546,1,2,3,4,5,6,7,8,9,13,14,15
-6.79499999999971,16,1,2,3,4,5,6,8,9,10,11,12
0.8650000000003502,1,2,3,4,5,7,8,9,10,11,13,14
-0.6949999999996308,16,1,2,3,4,5,6,7,9,10,11,13
3.5049999999999244,1,2,3,4,5,6,8,9,10,12,13,14
-8.449999999999932,16,1,2,3,4,5,6,7,8,9,12,14
-11.089999999999897,16,1,2,3,4,5,6,7,8,10,11,14
1.3450000000000628,1,2,3,4,5,6,7,9,11,12,13,14
-7.274999999999878,1,2,3,4,5,6,7,9,10,11,14,15
-4.7599999999997635,16,1,2,3,4,5,6,7,8,9,11,15
-3.114999999999597,1,2,3,4,5,7,8,9,10,11,12,15
3.195000000000043,1,2,3,4,5,6,8,9,10,11,13,15
-0.6650000000000276,1,2,3,4,5,6,7,9,10,12,13,15
-6.934999999999903,1,2,3,4,5,6,7,8,10,12,14,15
-0.22000000000024755,1,2,3,4,5,6,7,8,11,12,13,15
3.039999999999999,16,1,2,3,4,5,6,7,8,10,12,13
-2.5699999999999648,1,2,4,5,6,7,8,9,10,11,12,13
-12.970000000000063,1,2,3,5,6,7,8,9,10,11,12,14
-1.0349999999996982,1,2,3,4,6,7,8,9,10,11,13,14
7.110000000000497,1,2,3,4,5,7,8,9,10,12,13,14
-2.7899999999999068,16,1,2,3,4,5,6,7,8,9,12,15
-9.934999999999988,1,2,3,4,5,6,7,9,10,12,14,15
-7.374999999999808,1,2,3,4,5,6,7,8,11,12,14,15
-6.649999999999821,1,2,3,4,5,6,7,8,10,13,14,15
-8.884999999999742,16,1,2,3,4,5,6,7,9,10,11,14
-3.030000000000115,1,2,3,4,5,6,8,9,11,12,13,14
1.3599999999999284,1,2,3,4,5,6,7,10,11,12,13,14
-1.5749999999994841,16,1,2,3,4,5,6,7,9,10,12,13
-9.269999999999477,1,2,3,4,6,7,8,9,10,11,12,15
1.309999999999718,16,1,2,3,4,5,6,8,9,10,11,13
-7.265000000000164,16,1,2,3,4,5,6,7,8,11,12,13
-0.9549999999996359,1,2,3,4,5,7,8,9,10,11,13,15
-1.5399999999999068,1,2,3,4,5,6,8,9,10,11,14,15
-6.584999999999859,16,1,2,3,4,5,6,7,8,9,13,14
-1.8999999999996078,16,1,2,3,4,5,7,8,9,10,11,12
-8.864999999999867,16,1,2,3,4,5,6,7,8,10,11,15
9.309999999999832,1,2,3,4,5,6,8,9,10,12,13,15
-9.679999999999858,16,1,2,3,4,5,6,7,8,10,12,14
-1.1500000000000838,1,2,3,4,5,6,7,9,11,12,13,15
-6.72999999999994,1,2,3,5,6,7,8,9,10,11,12,15
-2.360000000000113,1,3,4,5,6,7,8,9,10,11,12,13
-3.8199999999999434,1,2,4,5,6,7,8,9,10,11,12,14
7.500000000000078,1,2,3,4,5,6,8,9,11,12,13,15
-1.8350000000001216,1,2,3,4,5,6,7,10,11,12,13,15
