numRounds, threshold, numFeat, avgUtility, startGuess, accuracy, advUtility, selUtility
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.3598040915010023, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.3598040915010023, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 0.6612829577856711, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861819, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.233405776811865, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.409860032275593, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2334057768118647, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2733613768266634, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2377208707924299, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861823, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 0.5438830801159302, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2911354544132774, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861823, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861823, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861823, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861823, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861823, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2911354544132774, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.4144784502288508, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2431026172176292, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.4174622700937085, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861823, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861825, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861825, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 0.35752412190059685, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.242351112086182, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.242351112086182, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.242351112086182, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.242351112086182, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 0.6167248217354216, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2856682834416462, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2856682834416462, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.242351112086182, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.242351112086182, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.242351112086182, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2856682834416462, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2334057768118647, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.3598040915010023, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.274030920568967, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.3505419927734297, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2293250231411055, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2293250231411057, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2334057768118645, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.3581507802118193, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2397248844762878, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861823, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861823, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2423511120861823, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2397248844762878, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.239724884476288, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2397248844762878, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2711414930052016, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2431026172176292, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2431026172176292, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.243102617217629, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2377208707924299, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2377208707924299, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2377208707924299, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2377208707924299, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 0.5130436644683122, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2397248844762878, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.3598040915010021, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2388925723414597, 0.0
100, 50.0, 8, 0.5, 75.001, 0.95, 1.2825652945118018, 0.0
