numRounds, threshold, numFeat, DISCOUNT, startGuess, accuracy, advUtility, selUtility
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03527712574791451, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.0347854796477282, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03116730969613274, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03347172671342554, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.032366038877137814, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.027647161890445537, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.029406006614939546, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.027034318967715895, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.02568679117936357, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.02071862176692378, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.02054463864978487, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.017674405318755096, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.017668280528945583, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.013933926437565917, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.035427938177421694, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03541363013596243, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03355364152445501, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03301533929502442, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03443885517422875, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03259442462189409, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03045398419485111, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03301178069708695, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.032888932419068144, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03176727301477423, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03365186516098562, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03285933541650998, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.031117844193396735, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03240818165403839, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.033309946583346926, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.03364335757589946, 0.0
