numRounds, threshold, numFeat, DISCOUNT, startGuess, accuracy, advUtility, selUtility
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006031543924695904, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006139570842871288, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.0063203529577943625, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006340252177679203, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006152856711969729, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006484619178263183, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006520578341845754, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.00622438366264114, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.00628366225222092, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006291119700174823, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006450178605383757, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.005944387830728035, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006397006564835705, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006395939067068088, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006345749265725875, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006298920611475251, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.0064318798811440515, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006183229293300144, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.0062770961588219315, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006216263750817986, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006145834400787515, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006688290241352667, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006294612533780695, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006434226248781859, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.005867998496620986, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.006407564859947188, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.005975820011886271, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.0063384426585889695, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.00624349623713705, 0.0
200, 50.0, 16, 0.5, 8500.001000000117, 0.9500000000000167, 0.0062608559062604955, 0.0
